industrial,homebrew,capacitive,timestamp
1006.0000,236,516,2015-01-28T01:56:03.064Z
998.0000,235,437,2015-01-28T01:55:59.443Z
998.0000,235,441,2015-01-28T01:55:55.617Z
1004.0000,235,457,2015-01-28T01:55:51.935Z
1005.0000,236,435,2015-01-28T01:55:48.308Z
1003.0000,235,403,2015-01-28T01:55:44.683Z
1004.0000,236,510,2015-01-28T01:55:41.058Z
1003.0000,236,456,2015-01-28T01:55:37.431Z
999.0000,235,465,2015-01-28T01:55:33.807Z
1009.0000,236,392,2015-01-28T01:55:30.181Z
1000.0000,236,439,2015-01-28T01:55:26.554Z
1006.0000,236,424,2015-01-28T01:55:22.931Z
1002.0000,236,402,2015-01-28T01:55:19.302Z
995.0000,235,412,2015-01-28T01:55:15.676Z
1011.0000,237,407,2015-01-28T01:55:12.051Z
1005.0000,236,533,2015-01-28T01:55:08.425Z
1007.0000,236,418,2015-01-28T01:55:04.802Z
1011.0000,237,355,2015-01-28T01:55:01.178Z
1004.0000,236,520,2015-01-28T01:54:57.548Z
1007.0000,236,3782,2015-01-28T01:54:53.921Z
1001.0000,236,1357,2015-01-28T01:54:43.506Z
1003.0000,236,1018,2015-01-28T01:54:39.672Z
1005.0000,236,750,2015-01-28T01:54:36.043Z
1004.0000,237,16,2015-01-28T01:54:32.416Z
1003.0000,236,-2,2015-01-28T01:54:28.790Z
1002.0000,236,1119,2015-01-28T01:54:23.538Z
1004.0000,237,93,2015-01-28T01:54:21.788Z
998.0000,236,91,2015-01-28T01:54:03.537Z
1004.0000,236,90,2015-01-28T01:53:58.282Z
1006.0000,237,92,2015-01-28T01:53:54.656Z
1004.0000,237,95,2015-01-28T01:53:47.779Z
996.0000,236,98,2015-01-28T01:53:44.153Z
999.0000,238,90,2015-01-28T01:53:33.995Z
991.0000,236,91,2015-01-28T01:53:28.775Z
998.0000,238,91,2015-01-28T01:53:26.398Z
1002.0000,237,95,2015-01-28T01:53:19.903Z
1002.0000,237,131,2015-01-28T01:53:15.147Z
1001.0000,237,96,2015-01-28T01:53:11.520Z
1003.0000,237,175,2015-01-28T01:53:07.269Z
1002.0000,238,255,2015-01-28T01:53:02.267Z
1001.0000,238,223,2015-01-28T01:52:58.643Z
1003.0000,238,955,2015-01-28T01:52:54.766Z
1002.0000,238,224,2015-01-28T01:52:51.139Z
996.0000,237,217,2015-01-28T01:52:47.513Z
1000.0000,238,54,2015-01-28T01:52:45.516Z
998.0000,238,326,2015-01-28T01:52:31.638Z
1000.0000,238,327,2015-01-28T01:52:28.009Z
1001.0000,238,323,2015-01-28T01:52:24.059Z
998.0000,238,0,2015-01-28T01:52:20.384Z
1002.0000,238,0,2015-01-28T01:52:16.757Z
1000.0000,239,0,2015-01-28T01:52:13.138Z
997.0000,238,0,2015-01-28T01:52:09.506Z
1003.0000,239,0,2015-01-28T01:52:05.890Z
1002.0000,239,0,2015-01-28T01:52:02.004Z
